Index,Start Time,End Time,Query Granularity,RNS SubNetwork,RNC Managed NE,RNC Managed NE Name,Location Name,CS Traffic (Erl)_VNM,PS Traffic (GB),TEMP1_VNM,Average HSDPA User_VNM,CS Att_VNM,CS Cong_VNM,CS CR_VNM,PS Att_VNM,PS Cong_VNM,PS CR_VNM,CS RAB Att_VNM_2,TEMP2_VNM,TEMP3_VNM,PS RAB Att_VNM_2,TEMP4_VNM,TEMP5_VNM,CS RRC Att_VNM,CS RRC Succ_VNM,TEMP6_VNM,TEMP7_VNM,CS RAB Att_VNM,CS RAB Succ_VNM,CS CSSR_VNM,PS RRC Att_VNM,PS RRC Succ_VNM,TEMP8_VNM,TEMP9_VNM,PS RAB Att_VNM,PS RAB Succ_VNM,PS CSSR_VNM,CS Call Att_VNM,CS Call Drop_VNM,CS CDR_VNM,PS Call Att_HSDPA_VNM,PS Call Drop_HSDPA_VNM,PS CDR_HSDPA_VNM,PS Call Att_R99_VNM,PS Call Drop_R99_VNM,PS CDR_R99_VNM,TEMP10_VNM,TEMP11_VNM,TEMP12_VNM,CS Soft HO Att_VNM,CS Soft HO Succ_VNM,CS Soft HOSR_VNM,PS Soft HO Att_VNM,PS Soft HO Succ_VNM,PS Soft HOSR_VNM,CS Hard HO Att_VNM,CS Hard HO Succ_VNM,CS Hard HOSR_VNM,PS Hard HO Att_VNM,PS Hard HO Succ_VNM,PS Hard HOSR_VNM,CS InterRAT HO Att_VNM,CS InterRAT HO Succ_VNM,CS InterRAT HOSR_VNM,PS InterRAT HO Att_VNM,PS InterRAT HO Succ_VNM,PS InterRAT HOSR_VNM,HSDPA User Throughput_VNM_Num,HSDPA User Throughput_VNM_Den,HSDPA User Throughput_VNM,HSUPA User Throughput_VNM_Num,HSUPA User Throughput_VNM_Den,HSUPA User Throughput_VNM,RTWP_VNM_Num,RTWP_VNM_Den,RTWP_VNM
12,2025-07-21 00:00:00,2025-07-22 00:00:00,1Day(s),102,102,HNRZ02(102),,48.5769,563.5682,0,1490.6372,2840,0,0.0,204955,0,0.0,2840,0,0,204322,0,0,2604,2596,0,0,2840,2839,99.6577,115900,115328,0,0,204322,203790,99.2474,2707,0,0.0,658106,6248,0.9494,582933,764,0.1311,0,0,0,19576,19576,100.0,1495224,1495114,99.9926,76,74,97.3684,4,4,100,0,0,0,0,0,0,4018342063,1815720,2213.0839,471635960,1644773,286.7482,-435482687.9,4093287,-106.3895
11,2025-07-21 00:00:00,2025-07-22 00:00:00,1Day(s),101,101,HNRZ01(101),,12.7056,176.4018,0,377.0773,585,0,0.0,62991,0,0.0,585,0,0,62923,0,0,476,469,0,0,585,585,98.5294,64651,64440,0,0,62923,62590,99.1461,579,0,0.0,201537,2909,1.4434,256914,860,0.3347,0,0,0,3841,3841,100.0,199027,199020,99.9965,0,0,0.0,0,0,0,0,0,0,0,0,0,1332868593,515997,2583.0913,120121282,495204,242.5689,-132580293.3,1234751,-107.3741
13,2025-07-22 00:00:00,2025-07-23 00:00:00,1Day(s),101,101,HNRZ01(101),,14.9236,187.9812,0,400.8279,753,0,0.0,63028,0,0.0,753,0,0,62841,0,0,624,613,0,0,753,752,98.1067,62009,61859,0,0,62841,62538,99.2771,731,0,0.0,213807,2802,1.3105,271185,826,0.3046,0,0,0,5651,5651,100.0,248618,248608,99.996,0,0,0.0,0,0,0,0,0,0,0,0,0,1424648982,541821,2629.3707,121000015,523426,231.1691,-132578822.3,1233983,-107.4397
14,2025-07-22 00:00:00,2025-07-23 00:00:00,1Day(s),102,102,HNRZ02(102),,46.3367,550.2301,0,1503.8802,2848,0,0.0,190064,0,0.0,2848,0,0,189464,0,0,2574,2572,0,0,2848,2846,99.8521,116770,115800,0,0,189464,188825,98.8348,2681,0,0.0,644970,6128,0.9501,570051,778,0.1365,0,0,0,17071,17071,100.0,1414425,1414335,99.9936,67,62,92.5373,7,7,100,0,0,0,0,0,0,3942087936,1810527,2177.3145,457395642,1640292,278.85,-434173809.5,4082459,-106.3511
15,2025-07-23 00:00:00,2025-07-24 00:00:00,1Day(s),101,101,HNRZ01(101),,12.6472,183.3836,0,416.4427,843,0,0.0,69995,0,0.0,843,0,0,69921,0,0,747,742,0,0,843,842,99.2128,70579,70403,0,0,69921,69616,99.3155,837,2,0.2389,226070,2917,1.2903,290291,797,0.2746,0,0,0,3400,3400,100.0,223076,223074,99.9991,0,0,0.0,0,0,0,0,0,0,0,0,0,1374144205,548070,2507.2379,131719831,533581,246.8598,-132170963.2,1232474,-107.2404
16,2025-07-23 00:00:00,2025-07-24 00:00:00,1Day(s),102,102,HNRZ02(102),,47.3233,513.6122,0,1404.6498,2919,0,0.0,183944,0,0.0,2919,0,0,183389,0,0,3074,3073,0,0,2919,2919,99.9675,113176,112434,0,0,183389,182927,99.0941,2794,1,0.0358,625255,5588,0.8937,563096,709,0.1259,0,0,0,19292,19292,100.0,1310327,1310271,99.9957,56,56,100.0,0,0,0,0,0,0,0,0,0,3696244518,1642262,2250.7022,416130752,1508241,275.9046,-435591765.7,4093431,-106.4124
17,2025-07-24 00:00:00,2025-07-25 00:00:00,1Day(s),101,101,HNRZ01(101),,13.3525,180.9536,0,412.094,797,0,0.0,67785,0,0.0,797,0,0,67700,0,0,2874,2867,0,0,797,796,99.6313,68295,68075,0,0,67700,67352,99.1655,792,1,0.1263,225359,2761,1.2252,292029,800,0.2739,0,0,0,4190,4190,100.0,249236,249225,99.9956,0,0,0.0,0,0,0,0,0,0,0,0,0,1350066971,544600,2479.0036,130769090,531934,245.8369,-132391341.0,1234859,-107.2117
18,2025-07-24 00:00:00,2025-07-25 00:00:00,1Day(s),102,102,HNRZ02(102),,39.19,548.2829,0,1510.4216,2596,0,0.0,200775,0,0.0,2596,0,0,200215,0,0,2416,2416,0,0,2596,2594,99.923,112038,111515,0,0,200215,199681,99.2677,2439,3,0.123,653451,6410,0.9809,577405,866,0.15,0,0,0,15074,15074,100.0,1434253,1434204,99.9966,55,55,100.0,3,3,100,0,0,0,0,0,0,3946313760,1791507,2202.7895,443899715,1632974,271.835,-434522451.7,4083821,-106.401
19,2025-07-25 00:00:00,2025-07-26 00:00:00,1Day(s),101,101,HNRZ01(101),,13.19,198.6891,0,440.2727,756,0,0.0,72355,0,0.0,756,0,0,72262,0,0,606,595,0,0,756,756,98.1848,73446,73289,0,0,72262,71926,99.3223,739,1,0.1353,238745,2944,1.2331,310959,804,0.2586,0,0,0,4442,4438,99.91,247802,247794,99.9968,0,0,0.0,0,0,0,0,0,0,0,0,0,1481819897,589289,2514.5873,147655422,570495,258.8196,-132344592.0,1234776,-107.1811
20,2025-07-25 00:00:00,2025-07-26 00:00:00,1Day(s),102,102,HNRZ02(102),,53.6478,558.0096,0,1543.4603,2744,0,0.0,209340,1,0.0005,2744,0,0,208658,0,0,2480,2478,0,0,2744,2742,99.8465,114259,113566,0,0,208658,208119,99.1367,2619,1,0.0382,670345,6721,1.0026,589464,831,0.141,0,0,0,25940,25940,100.0,1545107,1545035,99.9953,56,53,94.6429,4,4,100,0,0,0,0,0,0,3982213897,1886003,2111.4565,460480887,1676361,274.6907,-435503663.7,4093113,-106.3991
