Index,Start Time,End Time,Query Granularity,RNS SubNetwork,RNC Managed NE,RNC Managed NE Name,Location Name,CS Traffic (Erl)_VNM,PS Traffic (GB),TEMP1_VNM,Average HSDPA User_VNM,CS Att_VNM,CS Cong_VNM,CS CR_VNM,PS Att_VNM,PS Cong_VNM,PS CR_VNM,CS RAB Att_VNM_2,TEMP2_VNM,TEMP3_VNM,PS RAB Att_VNM_2,TEMP4_VNM,TEMP5_VNM,CS RRC Att_VNM,CS RRC Succ_VNM,TEMP6_VNM,TEMP7_VNM,CS RAB Att_VNM,CS RAB Succ_VNM,CS CSSR_VNM,PS RRC Att_VNM,PS RRC Succ_VNM,TEMP8_VNM,TEMP9_VNM,PS RAB Att_VNM,PS RAB Succ_VNM,PS CSSR_VNM,CS Call Att_VNM,CS Call Drop_VNM,CS CDR_VNM,PS Call Att_HSDPA_VNM,PS Call Drop_HSDPA_VNM,PS CDR_HSDPA_VNM,PS Call Att_R99_VNM,PS Call Drop_R99_VNM,PS CDR_R99_VNM,TEMP10_VNM,TEMP11_VNM,TEMP12_VNM,CS Soft HO Att_VNM,CS Soft HO Succ_VNM,CS Soft HOSR_VNM,PS Soft HO Att_VNM,PS Soft HO Succ_VNM,PS Soft HOSR_VNM,CS Hard HO Att_VNM,CS Hard HO Succ_VNM,CS Hard HOSR_VNM,PS Hard HO Att_VNM,PS Hard HO Succ_VNM,PS Hard HOSR_VNM,CS InterRAT HO Att_VNM,CS InterRAT HO Succ_VNM,CS InterRAT HOSR_VNM,PS InterRAT HO Att_VNM,PS InterRAT HO Succ_VNM,PS InterRAT HOSR_VNM,HSDPA User Throughput_VNM_Num,HSDPA User Throughput_VNM_Den,HSDPA User Throughput_VNM,HSUPA User Throughput_VNM_Num,HSUPA User Throughput_VNM_Den,HSUPA User Throughput_VNM,RTWP_VNM_Num,RTWP_VNM_Den,RTWP_VNM
12,2025-07-21 00:00:00,2025-07-22 00:00:00,1Day(s),102,102,HNRZ02(102),,583.2175,4218.1258,0,1139.6584,36085,0,0.0,2090438,43,0.0021,36083,0,0,2083351,0,0,32709,32666,0,0,36083,36072,99.8381,1354900,1348603,0,0,2083351,2076792,99.2219,34312,23,0.067,6784747,75239,1.1089,6150257,9326,0.1516,0,0,0,227798,227798,100.0,14366103,14365276,99.9942,988,967,97.8745,62,58,93.5484,0,0,0,0,0,0,30145343768,14061187,2143.8691,3439787639,12545851,274.1773,-5227636060.6,49107238,-106.4535
11,2025-07-21 00:00:00,2025-07-22 00:00:00,1Day(s),101,101,HNRZ01(101),,139.4167,1448.4269,0,314.3057,8655,0,0.0,758019,0,0.0,8655,0,0,756957,0,0,6807,6783,0,0,8655,8647,99.5553,819934,817595,0,0,756957,752678,99.1511,8508,3,0.0353,2261874,29951,1.3242,2988395,8405,0.2813,0,0,0,41638,41586,99.8751,2144889,2144829,99.9972,0,0,0.0,0,0,0.0,0,0,0,0,0,0,10897638162,4496077,2423.8101,1003302448,4348309,230.7339,-1585406363.8,14776204,-107.2946
13,2025-07-22 00:00:00,2025-07-23 00:00:00,1Day(s),101,101,HNRZ01(101),,146.68,1439.4659,0,305.2337,8580,0,0.0,727574,0,0.0,8580,0,0,726234,0,0,7066,7026,0,0,8580,8572,99.3412,784003,782292,0,0,726234,722331,99.2455,8431,3,0.0356,2206059,27144,1.2304,2890149,7755,0.2683,0,0,0,47452,47391,99.8714,2235996,2235951,99.998,0,0,0.0,0,0,0.0,0,0,0,0,0,0,10913845325,4310239,2532.074,928668091,4158356,223.3257,-1578860948.3,14694121,-107.4485
14,2025-07-22 00:00:00,2025-07-23 00:00:00,1Day(s),102,102,HNRZ02(102),,556.9094,4173.6509,0,1144.6275,35505,0,0.0,2031218,11,0.0005,35502,0,0,2024234,0,0,32330,32290,0,0,35502,35482,99.82,1386527,1379873,0,0,2024234,2017830,99.2052,33608,15,0.0446,6734968,72162,1.0715,6070646,9000,0.1483,0,0,0,232817,232803,99.994,13988031,13987338,99.995,1018,983,96.5619,63,63,100.0,0,0,0,0,0,0,29800451426,13964412,2134.0283,3409107349,12554234,271.5504,-5216609993.5,49014203,-106.4306
15,2025-07-23 00:00:00,2025-07-24 00:00:00,1Day(s),101,101,HNRZ01(101),,132.295,1442.6106,0,317.8581,8751,0,0.0,763391,0,0.0,8751,0,0,762464,0,0,7120,7086,0,0,8751,8742,99.4201,811497,809313,0,0,762464,757958,99.1415,8644,6,0.0694,2301215,30342,1.3185,3010630,8166,0.2712,0,0,0,38214,38160,99.8587,2149171,2149114,99.9973,0,0,0.0,0,0,0.0,0,0,0,0,0,0,10917034382,4426019,2466.5581,968850355,4305348,225.0341,-1574903267.8,14680235,-107.2805
16,2025-07-23 00:00:00,2025-07-24 00:00:00,1Day(s),102,102,HNRZ02(102),,557.0914,4016.0029,0,1102.4663,35337,0,0.0,1973893,5,0.0003,35337,0,0,1966948,0,0,34603,34568,0,0,35337,35318,99.8451,1306346,1299219,0,0,1966948,1960344,99.1205,33639,20,0.0595,6490232,68426,1.0543,5874667,8086,0.1376,0,0,0,227760,227748,99.9947,13042607,13041827,99.994,933,912,97.7492,32,32,100.0,0,0,0,0,0,0,28759933904,13304911,2161.6028,3252668155,12030443,270.3698,-5225960708.6,49097671,-106.4401
17,2025-07-24 00:00:00,2025-07-25 00:00:00,1Day(s),101,101,HNRZ01(101),,152.1233,1413.3556,0,319.1554,8899,0,0.0,777115,0,0.0,8899,0,0,776091,0,0,20584,20545,0,0,8899,8895,99.7657,844988,842597,0,0,776091,771542,99.1326,8768,11,0.1255,2349229,29704,1.2644,3101584,8373,0.27,0,0,0,45749,45701,99.8951,2109833,2109744,99.9958,0,0,0.0,0,0,0.0,0,0,0,0,0,0,10665854012,4358771,2446.9864,962444164,4235972,227.2074,-1581138204.1,14746844,-107.2188
18,2025-07-24 00:00:00,2025-07-25 00:00:00,1Day(s),102,102,HNRZ02(102),,555.7958,4201.2798,0,1130.584,35991,0,0.0,2036050,0,0.0,35989,0,0,2028894,0,0,34009,33974,0,0,35989,35961,99.8194,1357906,1351828,0,0,2028894,2021993,99.2138,34153,23,0.0673,6620332,72599,1.0966,5944155,8669,0.1458,0,0,0,219810,219810,100.0,13229942,13229214,99.9945,855,846,98.9474,36,35,97.2222,0,0,0,0,0,0,30243522569,13865094,2181.2706,3307068956,12502560,264.5113,-5202102565.9,48843980,-106.5045
19,2025-07-25 00:00:00,2025-07-26 00:00:00,1Day(s),101,101,HNRZ01(101),,130.0814,1476.0505,0,329.4514,8308,0,0.0,791667,0,0.0,8308,0,0,790716,0,0,10480,10443,0,0,8308,8307,99.635,854361,851916,0,0,790716,786216,99.1463,8226,5,0.0608,2390604,30788,1.2879,3171290,8913,0.2811,0,0,0,37912,37882,99.9209,2156003,2155932,99.9967,0,0,0.0,0,0,0.0,0,0,0,0,0,0,11057971819,4628016,2389.3544,1053998472,4441841,237.2886,-1582374480.4,14769017,-107.1415
20,2025-07-25 00:00:00,2025-07-26 00:00:00,1Day(s),102,102,HNRZ02(102),,556.9078,4291.5973,0,1135.3159,33973,0,0.0,2044443,11,0.0005,33971,0,0,2037366,0,0,31610,31568,0,0,33971,33953,99.8142,1309758,1303344,0,0,2037366,2030376,99.1689,32304,14,0.0433,6580821,72844,1.1069,5914692,8999,0.1521,0,0,0,238096,238095,99.9996,13687510,13686760,99.9945,919,893,97.1708,43,43,100.0,0,0,0,0,0,0,30813756101,14303337,2154.3053,3424117873,12786209,267.7977,-5233941168.6,49110935,-106.5738
