Date,Cell Type,RRC SR,RRC Att,ERAB SR,ERAB Att,S1 SR,S1 Att,ePS CDR,ERAB Release,IntraF HOSR,pmHoPrepAttLteIntraF,InterRAT HOSR L2W,DC_E_ERBS_UTRANCELLRELATION.pmHoPrepAtt,CSFB SR,CSFB Att,CSFB Succ to GSM,Average RRC connected user,DL User Throughput (Mbps),UL User Throughput (Mbps),PS Traffic (GB),PS Traffic UL (GB),ePS CSSR,InterF HOSR,pmHoPrepAttLteInterF,X2 HOSR,X2 HO Att,S1 HOSR,S1 HO Att,Cell Availibility (%),% MIMO,RRC Connected User Max,TU PRB DL (%),RTWP,RRC Connected User Average,RRC Connected User Max.1
2025-07-17,,97.6695914209841,101892433,99.5793481568875,83111962,99.9704788906479,99494906,1.06119796954532,74610678,95.4403192371205,8501260,97.6899907017498,8273487,99.8671022229305,313775,859,625960.141508105,5.56314900773511,0.502282001578688,86534.058725125,7091.472973625,97.230030624788,98.736221521743,206103,0,0,0,0,99.7716552787254,41.3860078641334,234,25.3454879002912,-112.606771292343,9.54608847526608,234
2025-07-18,,97.4948416534388,100710081,99.5657204403348,81796850,99.9919280816417,98179883,1.07111903742738,73334893,96.0347653500102,8614053,97.4859736316697,8244791,99.871471429435,314327,703,617163.504453939,5.57297505444491,0.475900092613395,84890.08038275,6901.721115,97.0636059569042,98.5238337837189,208036,0,0,0,0,99.7387347371129,41.7065157589984,220,24.9443086623733,-111.430731750194,9.41295309968418,220
2025-07-19,,98.8586100236386,92350995,99.6811925372136,75406955,99.8975762260914,91226867,0.750393733570102,67468847,97.741496306746,7166467,97.5311445413453,7833645,99.8848189305881,293451,844,576181.265315342,5.339522846101,0.939849415367401,86441.03811525,7146.465921375,98.4425094856578,98.3105879984481,164366,0,0,0,0,98.5062134948707,42.1174106178919,529,25.8027388187494,-112.972164846333,8.9853196949714,529
2025-07-20,,99.8783522378921,91776452,99.7849982471683,75526361,99.9669163343678,91643412,0.634735513324908,67800996,98.974623699661,7505116,97.5876636684915,7696202,99.8863981146321,283446,931,581713.106626906,5.78065617717182,1.54538034110395,90073.812333375,7592.58422025,99.6306396537203,98.6061593794655,155017,0,0,0,0,99.1720446090987,41.357771447405,173,25.7924535983757,-116.07267048455,8.9590440714131,173
2025-07-21,,99.8905179007593,92980497,99.7742269843164,76344376,99.8800077790052,92829351,0.667494608980841,68251937,98.3833435515621,6350051,97.7535373706791,8049200,99.8941621519664,286287,1281,593779.177925427,5.56729209613751,1.54499850224412,93355.139886625,7714.89951725,99.5454018285784,98.9401418876923,162619,0,0,0,0,99.6591047688743,41.5987320524171,321,26.515466944469,-116.322936171467,9.06892984566058,321
2025-07-22,,99.8847765406727,85692619,99.7693423723108,69895369,99.9274188185113,85557990,0.669790754593513,62203755,98.8750616791294,5358657,97.3779012517888,7680847,99.877865985677,252182,832,566902.966854623,5.45289378339494,1.51966998947212,94316.649722625,7720.820669875,99.5820543548719,99.1078825499097,143082,0,0,0,0,99.0497037240314,42.2015611206214,306,27.0075558352088,-116.382472844657,8.74896599781559,306
2025-07-23,,99.8653941305345,99194040,99.7719866898011,82568864,99.9793611749555,99046336,0.6320621571845,74108376,99.0740709984467,8113059,97.4354354779398,8435653,99.8892932468881,333313,1162,626559.533502624,5.48962279853845,1.36242685240244,91756.522547875,7591.138649625,99.6171236915833,98.9759577756888,197917,0,0,0,0,99.6396071336613,41.1041528766542,343,26.4810900345087,-115.865969679441,9.57154027526937,343
2025-07-24,,99.881600738107,101236273,99.7629692524352,84717701,99.970759376355,101095655,0.629388441464612,76211282,99.076009234098,8326326,97.5827041499553,8459543,99.8879742526459,323140,1442,640946.100529917,5.16121721009026,1.37120931897541,92969.157531375,7803.271819375,99.6157138574425,99.0265914563677,201945,0,0,0,0,99.5955977016167,41.0259050332391,241,27.1060378955837,-115.832454713306,9.80308553964427,241
2025-07-25,,99.8809784394506,99218158,99.7567355305693,82691073,99.8427914114688,99043571,0.651172504481685,74370462,98.356918871642,8231665,97.7651884049394,8248763,99.8547993450524,291321,809,635546.781886668,4.90688908069278,1.3512825781439,94317.316464125,7798.95153525,99.4813640082333,99.0983269490832,208366,0,0,0,0,99.6238897037852,41.4654262420657,286,27.6301585761183,-115.833281708132,9.73191364773174,286
2025-07-26,,99.7636949940371,97341992,99.7468160390063,81217625,99.9049671487054,97073800,0.665512994282872,73116078,98.5107938199328,8158518,97.7562018998916,8027659,99.8436449049016,283969,1016,624395.870832814,5.26340886812935,1.15303581243369,92207.0058825,7665.10130275,99.4165410748764,98.9282040039088,184375,0,0,0,0,99.7337611077194,41.7117157604425,371,26.5362686528638,-115.609721535576,9.56221452971259,371
2025-07-27,,99.845108703998,92470012,99.7672869782055,76667390,99.9093974764239,92293235,0.630562467614964,69021076,98.6301105475045,7987155,97.6321168126004,7600357,99.8757348372604,271999,717,596463.2103928,5.6403369673954,1.36731063884775,92250.6783165,7642.951413,99.5225044635574,98.9814454193924,171574,0,0,0,0,99.763805460693,41.4838760547314,186,26.1962582066853,-115.746969735744,9.10482692809857,186
2025-07-28,,99.8469262557772,99834234,99.7429154554847,83460482,99.8966765114197,99638525,0.635991003258756,75081408,98.5616139250468,8472212,97.9090231456461,8278341,99.8165373019437,311780,852,633142.05737166,5.26306386618764,1.28792616106154,90769.46443125,7605.8924355,99.4873351348644,98.9050256217693,197573,0,0,0,0,99.7967371529048,41.2529696912174,226,26.1980150337298,-115.535096148136,9.66200786480908,226
2025-07-29,,97.2196797970092,99168218,99.4731837315349,81111770,99.8345443912443,96355150,1.14299452243131,72749430,95.1744310801933,8415026,97.5571359748179,8046666,99.7898201511126,313541,1142,621394.711448992,5.42197248261353,0.385255635700124,86386.07750475,7010.99892275,96.5475027071349,98.9116565792034,202447,0,0,0,0,99.505508378393,41.7378180096285,323,25.4211684759653,-111.812840029041,9.48699824538527,323
2025-07-30,,98.9203911215746,98217236,99.5931028408709,82249284,99.9718118833399,97133130,0.810874685730035,74342930,98.297907456638,8095732,97.5927356259552,7692312,99.8142447395099,323544,1311,631194.988256712,4.83420846338955,0.527730028869204,90153.716206625,7479.3206215,98.4901165234224,99.064601436387,198400,0,0,0,0,99.7201606564486,42.1623049968835,322,26.3337141941071,-113.08710565985,9.65337575427425,322
2025-07-31,,99.3043135538179,100519854,99.6445714635961,83957243,99.974829801563,99800564,0.757797217612082,76055175,98.4849180953588,8553272,97.2962004421469,7751751,99.8614135175123,309554,713,641464.21593288,4.70005401911933,0.698743209966286,90799.429122,7661.612245,98.9264514324821,99.104163395857,211156,0,0,0,0,99.63081371712,41.7942370660191,307,26.6882744493907,-114.519600449359,9.81549312263788,307
2025-08-01,,99.7864527359479,100837630,99.736687048998,82885023,99.9760181596813,100605290,0.665358411602768,75132138,98.9430227411066,8751184,97.3327134236526,7684353,99.8210595125688,302894,1002,638740.625310058,4.69008375354238,1.14941111403886,92366.463484625,7873.0636635,99.4998344672359,99.0731121375309,218226,0,0,0,0,99.8636393665894,41.6670953439375,356,27.0443571677783,-115.43324235598,9.75625243032815,356
2025-08-02,,94.470786419654,99863641,99.1299957819245,76008597,99.9822876752295,94329797,1.56039371932423,68448558,94.1201435061938,8320873,97.226986329468,6957649,99.7901533494754,284970,660,598681.247961515,5.60126371387298,0.287336828354729,82854.563974625,6731.663674625,93.6322991980166,99.1110720363622,187703,0,0,0,0,99.9284423235896,42.0969298330634,311,23.7271014384434,-112.16688401896,9.13609268528503,311
2025-08-03,,95.1080188001578,92513479,99.1795994373644,69460947,99.9876552127402,87980455,1.49617666296068,62219992,94.4310270569623,7645740,97.5716809759709,6705975,99.7477907551601,258912,482,558085.73016396,6.05498295195951,0.332719382836555,83150.73068975,6704.595064875,94.3161075184886,99.1902024391158,164889,0,0,0,0,99.8403387608245,42.2239564374737,216,23.429584708656,-112.369989958388,8.51999895178983,216
2025-08-04,,96.6001517712205,100758233,99.3197709859582,78548546,99.9914163494951,97324559,1.26179911001124,70676623,95.981892334038,8286027,97.3938289697663,7412525,99.8440299018824,306469,618,608685.365806108,5.41943415124031,0.352430408851077,82629.07112925,6862.319129,95.9348140952105,99.0096739219593,195435,0,0,0,0,99.5611388922768,41.5909340084071,243,24.1311384726215,-112.457878212051,9.31136834223885,243
2025-08-05,,97.506650977798,98840354,99.4579039061108,77525554,99.9566066544981,96341961,1.0924043429854,69885936,96.7883290040859,7804786,97.5312425300612,7305132,99.8397135865727,304455,752,601206.002800014,5.20150863086323,0.430072316550695,85312.144131,7073.441179375,96.9359892020546,99.0832703360523,205588,0,0,0,0,99.5721793270793,41.6827868963737,299,24.943636814189,-113.380938332607,9.20487172930482,299
2025-08-06,,98.3197540827618,101762366,99.6089310252162,81129678,99.9799054872155,100037260,0.851306928910849,73520487,98.1449881174569,7945905,97.4275022396169,7405869,99.8470140879796,316369,1216,628449.66649195,4.89126803400224,0.625524137944648,89224.9080665,7496.787902125,97.9155764159172,99.0762830459651,204796,0,0,0,0,99.6789814306623,41.4771470716054,322,26.2344445187035,-114.037764446756,9.60528425514875,322
