Date,Cell Type,RRC SR,RRC Att,ERAB SR,ERAB Att,S1 SR,S1 Att,ePS CDR,ERAB Release,IntraF HOSR,pmHoPrepAttLteIntraF,InterRAT HOSR L2W,DC_E_ERBS_UTRANCELLRELATION.pmHoPrepAtt,CSFB SR,CSFB Att,CSFB Succ to GSM,Average RRC connected user,DL User Throughput (Mbps),UL User Throughput (Mbps),PS Traffic (GB),PS Traffic UL (GB),ePS CSSR,InterF HOSR,pmHoPrepAttLteInterF,X2 HOSR,X2 HO Att,S1 HOSR,S1 HO Att,Cell Availibility (%),% MIMO,RRC Connected User Max,TU PRB DL (%),RTWP,RRC Connected User Average,RRC Connected User Max.1
2025-07-17,,90.5235830964701,8583012,98.8426692102735,6468505,99.9927529842451,7768715,3.09640135855838,5720770,86.4137822944664,929096,98.1873920216152,672165,99.7703788748565,27001,68,60082.8115691922,4.74830803796229,0.236704852607051,8871.78845825,822.085559,89.4694414628916,98.558004418412,21018,0,0,0,0,99.8846782877227,43.1253628987254,136,33.6458129929313,-102.761302953597,10.986602814405,136
2025-07-18,,92.41147453763,8612042,99.009582005604,6620639,99.9901227778921,7957703,2.76849428663694,5861959,89.7448043795566,938411,97.7152068628805,698770,99.8392165460791,27366,108,61383.4840857155,4.56820591151298,0.239810524489133,9093.780473375,850.7474895,91.4871773805798,99.0303640054607,20638,0,0,0,0,99.5546159698924,43.0743255809692,154,34.3149927066537,-105.321822409083,11.2398476502485,154
2025-07-19,,99.7922028080828,7285469,99.7193415444128,5990199,99.985569493276,7269322,0.822638951478795,5299044,98.8587801317789,597443,97.8408261126508,685014,99.9274774966938,23441,93,57212.9104385422,4.01731343592503,1.17817911288959,10443.0812295,972.61674575,99.4977674486274,99.1476483800135,14678,0,0,0,0,96.9801145231253,43.1608701753264,178,40.1804361487693,-114.403349398372,11.0237800790051,178
2025-07-20,,99.8568415642929,7814419,99.7433984768944,6398637,99.9961936306497,7802711,0.841473416621087,5673263,99.1140746855466,673412,97.7993654964971,720951,99.830220713073,24738,158,61751.4743328183,4.07657104201574,1.3526164035573,11117.932670875,1050.848617,99.5968162209214,98.567752198812,17041,0,0,0,0,99.7028999883004,42.8455905427339,120,39.6671760241032,-114.771281915321,11.3088136207356,120
2025-07-21,,99.877676148933,7149873,99.7326711112571,5753961,99.8044945782568,7134329,0.916292658585052,5066067,97.9385959506194,437226,97.7860433666002,684103,99.9258783416514,20237,172,57646.0054816958,4.41278145995923,1.50495016198041,11209.2702085,1061.73774275,99.4159299983545,99.1645610234227,11257,0,0,0,0,99.614812768287,43.3201226367858,140,38.9917536633765,-115.458699957461,10.5701141404295,140
2025-07-22,,99.8744566882472,7249291,99.7163743912416,5884518,99.9294021230205,7238178,0.849162939921703,5197118,98.7492246820929,474781,97.7735727715518,683102,99.8483316481294,19780,101,59005.3503433543,4.19513807880563,1.43340531072186,11354.50968075,1030.8847295,99.5208778886826,99.0842792280989,11577,0,0,0,0,99.3309070149147,43.2222940052976,140,40.0171299488962,-115.292590041322,10.8148153625837,140
2025-07-23,,99.776953722945,8667708,99.7274940557215,7240576,99.9953631310175,8648077,0.833003091067607,6434670,99.074038615038,879055,97.9530882277303,796235,99.9231870395587,28641,229,66365.8965033746,4.10940275024466,1.24289809832568,11241.4132955,1102.418977125,99.5004416739711,98.8685694738355,19806,0,0,0,0,99.8752787706596,42.3402242905868,137,40.5329929169855,-113.937023409354,12.1539190826791,137
2025-07-24,,99.8716779419741,8602574,99.7362828465785,7199380,99.9983472057476,8591511,0.825418095187095,6423896,99.0991012855328,844350,97.8296600798177,768290,99.8689523269817,28234,98,66508.4595022383,3.82934553555841,1.30144038183653,11249.109778625,1102.992567,99.6066528755872,99.175426357451,19900,0,0,0,0,99.690126344867,42.5156896639936,112,40.8470006896741,-114.518131559094,12.2007263184558,112
2025-07-25,,99.8415299839682,8118255,99.7210519019283,6722756,99.8137090942857,8098624,0.879264338290011,5973289,98.2811807107305,768092,97.9435333661304,741739,99.7274866840084,24219,80,64744.3129330788,3.65997919033922,1.28214418086531,11497.241761375,1103.030080125,99.3775470759472,98.7781543673789,21289,0,0,0,0,99.8514740271013,43.4094140953231,132,41.5027269062933,-114.475288323165,11.8868597985266,132
2025-07-26,,99.8266709998917,8086356,99.7321108253278,6748313,99.9288208865096,8069783,0.850887482106611,6003614,98.8659405424521,792716,98.0912601138635,735771,99.9113235917801,25937,136,64414.4332003757,3.79335998218345,1.25393640102607,11005.41975225,1084.14232225,99.4883807660365,98.9672333674515,19476,0,0,0,0,99.6623649000337,43.2199849533909,104,39.4752904968355,-114.392401134669,11.82173222697,104
2025-07-27,,99.72168474378,8521272,99.7075894598099,7128676,99.9145443532936,8494465,0.796356419937081,6354190,98.6478479630253,945031,98.0608946509485,762307,99.8967640881421,28091,170,65788.5982737487,3.91006620047728,1.08955973900424,11124.9726175,1102.001859,99.3451194019901,99.1155714416644,21838,0,0,0,0,99.6325604351432,42.4803601708027,99,40.2179842504533,-113.793220114576,12.0504811514966,99
2025-07-28,,99.7275261954057,8705057,99.7061426637348,7346422,99.873668430453,8677166,0.813529306245205,6550225,98.5618288627506,890800,97.955551421515,784147,99.9001205441708,29035,99,67016.5713259227,3.89546409859974,1.11586447276297,11185.287779875,1097.964605875,99.3088524173598,99.0691404458133,19453,0,0,0,0,99.8845324874696,42.5996108735752,124,40.4524401855049,-113.928009000064,12.2607506184915,124
